TABLE_NAME,TABLE_COMMENT,COLUMN_NAME,DATA_TYPE,COLUMN_TYPE,COLUMN_KEY,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,COLUMN_COMMENT
ProductContents,,id,int,int,PRI,NO,NULL,,
ProductContents,,sellerMallPage_id,int,int,PRI,NO,NULL,,
ProductContents,,kind,varchar,varchar(45),,YES,NULL,,
ProductContents,,description_name,varchar,varchar(45),,YES,NULL,,
TextContents,,id,int,int,PRI,NO,NULL,auto_increment,
TextContents,,sellerMallPage_id,int,int,PRI,NO,NULL,,
TextContents,,Name,varchar,varchar(45),,YES,NULL,,
TextContents,,Content,varchar,varchar(5000),,YES,NULL,,
TextContents,,date,timestamp,timestamp,,YES,CURRENT_TIMESTAMP,DEFAULT_GENERATED,
address,,id,int,"int unsigned",PRI,NO,NULL,auto_increment,
address,,users_id,int,"int unsigned",PRI,NO,NULL,,
address,,postcode,varchar,varchar(45),,NO,NULL,,
address,,address1,varchar,varchar(300),,NO,NULL,,
address,,address2,varchar,varchar(300),,YES,NULL,,
delivery,,id,int,int,PRI,NO,NULL,auto_increment,
delivery,,address_id,int,"int unsigned",PRI,NO,NULL,,
delivery,,delivery_company,varchar,varchar(10),,YES,NULL,,
delivery,,delivery_num,varchar,varchar(60),,YES,NULL,,
inquiry,,id,int,int,PRI,NO,NULL,auto_increment,
inquiry,,users_id,int,"int unsigned",PRI,NO,NULL,,
inquiry,,sellerrMall_id,int,"int unsigned",PRI,NO,NULL,,
inquiry,,product_id,int,"int unsigned",PRI,NO,NULL,,
inquiry,,order_list_id,int,"int unsigned",PRI,NO,NULL,,
inquiry,,contents,varchar,varchar(300),,YES,NULL,,
inquiry,,name,varchar,varchar(45),,NO,NULL,,
inquiry,,date,timestamp,timestamp,,YES,CURRENT_TIMESTAMP,DEFAULT_GENERATED,
inquiry,,result,varchar,varchar(1),,YES,N,,
inquiry,,answer,varchar,varchar(300),,YES,NULL,,
order_list,,id,int,"int unsigned",PRI,NO,NULL,auto_increment,
order_list,,users_id,int,"int unsigned",PRI,NO,NULL,,
order_list,,product_id,int,"int unsigned",PRI,NO,NULL,,
order_list,,order_count,int,int,,NO,1,,
order_list,,delivery_id,int,int,,NO,-1,,
order_list,,date,timestamp,timestamp,,YES,CURRENT_TIMESTAMP,DEFAULT_GENERATED,
order_list,,result,varchar,varchar(45),,YES,N,,
pay_table,,orderId,varchar,varchar(64),PRI,NO,NULL,,
pay_table,,mId,varchar,varchar(14),,NO,NULL,,
pay_table,,paymentKey,varchar,varchar(200),,NO,NULL,,
pay_table,,order_num,int,"int unsigned",PRI,NO,NULL,,
pay_table,,id,varchar,varchar(45),,NO,NULL,,
pay_table,,email,varchar,varchar(45),,NO,NULL,,
pay_table,,orderName,varchar,varchar(100),,YES,NULL,,
pay_table,,pay_method,varchar,varchar(10),,NO,NULL,,
pay_table,,easyPay,varchar,varchar(100),,YES,NULL,,
pay_table,,pay_bank,varchar,varchar(10),,YES,NULL,,
pay_table,,pay_status,varchar,varchar(45),,NO,NULL,,
pay_table,,pay_date,datetime,datetime,,NO,NULL,,
pay_table,,totalAmount,int,int,,NO,NULL,,
pay_table,,cancelReason,varchar,varchar(100),,NO,NULL,,
pay_table,,cancel_date,datetime,datetime,,YES,NULL,,
pay_table,,cancelAmount,int,int,,YES,NULL,,
product,,id,int,"int unsigned",PRI,NO,NULL,auto_increment,
product,,sellerMall_id,int,"int unsigned",PRI,NO,NULL,,
product,,price,int,int,,NO,NULL,,
product,,name,varchar,varchar(45),,NO,NULL,,
product,,kind,varchar,varchar(45),,NO,NULL,,
product,,date,timestamp,timestamp,,NO,CURRENT_TIMESTAMP,DEFAULT_GENERATED,
product,,img,varchar,varchar(200),,NO,NULL,,
product,,buycount,int,int,,YES,0,,
product,,stock,int,int,,YES,-1,,
"product_ description",,id,int,"int unsigned",PRI,NO,NULL,auto_increment,
"product_ description",,product_id,int,"int unsigned",PRI,NO,NULL,,
"product_ description",,description_name,varchar,varchar(45),,NO,NULL,,
"product_ description",,parameter,varchar,varchar(200),,YES,NULL,,
review,,id,int,int,PRI,NO,NULL,auto_increment,
review,,order_list_id,int,"int unsigned",PRI,NO,NULL,,
review,,star_score,int,int,,NO,NULL,,
review,,contents,varchar,varchar(300),,YES,NULL,,
seller,,id,int,"int unsigned",PRI,NO,NULL,auto_increment,
seller,,users_id,int,"int unsigned",PRI,NO,NULL,,
seller,,CompanyRegistrationNumber,varchar,varchar(45),PRI,NO,NULL,,
sellerMallPage,,id,int,int,PRI,NO,NULL,auto_increment,
sellerMallPage,,sellermall_id,int,"int unsigned",PRI,NO,NULL,,
sellerMallPage,,type,varchar,varchar(45),,NO,NULL,,
sellerMallPage,,name,varchar,varchar(45),,NO,NULL,,
sellerMallPage,,categori,varchar,varchar(45),,YES,N,,
sellermall,,id,int,"int unsigned",PRI,NO,NULL,auto_increment,
sellermall,,seller_id,int,"int unsigned",PRI,NO,NULL,,
sellermall,,name,varchar,varchar(45),,NO,NULL,,
sellermall,,create_date,timestamp,timestamp,,NO,CURRENT_TIMESTAMP,DEFAULT_GENERATED,
sellermall,,grade,varchar,varchar(1),,YES,N,,
snsLogin,,id,int,int,PRI,NO,NULL,auto_increment,
snsLogin,,users_id,int,"int unsigned",PRI,NO,NULL,,
snsLogin,,snsId,varchar,varchar(45),,NO,NULL,,
snsLogin,,snsEmail,varchar,varchar(100),,NO,NULL,,
user_security,,id,int,int,PRI,NO,NULL,auto_increment,
user_security,,users_id,int,"int unsigned",PRI,NO,NULL,,
user_security,,ipaddress,varchar,varchar(200),,YES,NULL,,
user_security,,model,varchar,varchar(200),,YES,NULL,,
user_security,,security_check,int,int,,YES,0,,
users,,id,int,"int unsigned",PRI,NO,NULL,auto_increment,
users,,userid,varchar,varchar(45),UNI,NO,NULL,,
users,,password,varchar,varchar(500),,NO,NULL,,
users,,name,varchar,varchar(45),,NO,NULL,,
users,,date,timestamp,timestamp,,NO,CURRENT_TIMESTAMP,DEFAULT_GENERATED,
users,,phone,varchar,varchar(45),,NO,NULL,,
users,,gender,varchar,varchar(1),,NO,NULL,,
users,,email,varchar,varchar(45),UNI,YES,NULL,,
users,,birthday,date,date,,YES,NULL,,
users,,grade,varchar,varchar(1),,YES,N,,
users,,address_id,int,int,,YES,-1,,
users,,snsLogin_id,varchar,varchar(45),,YES,00,,
users,,userSecurity_id,varchar,varchar(45),,YES,0,,
